#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.35017  0.00173 -0.00916  0.10582  0.000035  0.000016  0.000487     2.228
   1.35266  0.00252 -0.01152  0.02028  0.000035  0.000016  0.000092     2.230
   1.35521  0.00342 -0.01391 -0.06535  0.000035  0.000016  0.000295     2.230
   1.35781  0.00448 -0.01628 -0.16162  0.000033  0.000015  0.000791     2.217
   1.36048  0.00579 -0.01861 -0.24695  0.000037  0.000016  0.001009     2.282
   1.36323  0.00733 -0.02089 -0.31864  0.000040  0.000018  0.001278     2.239
   1.36607  0.00906 -0.02314 -0.38144  0.000043  0.000019  0.001351     2.278
   1.36900  0.01093 -0.02539 -0.43861  0.000045  0.000020  0.001530     2.253
   1.37202  0.01292 -0.02766 -0.49276  0.000047  0.000021  0.001617     2.266
   1.37514  0.01501 -0.02998 -0.56465  0.000043  0.000020  0.002208     2.173
   1.37835  0.01725 -0.03229 -0.64228  0.000043  0.000019  0.002396     2.223
   1.38167  0.01971 -0.03451 -0.70467  0.000046  0.000020  0.002329     2.281
   1.38511  0.02243 -0.03661 -0.74693  0.000052  0.000022  0.002069     2.345
   1.38871  0.02541 -0.03863 -0.77171  0.000060  0.000025  0.001753     2.407
   1.39247  0.02862 -0.04059 -0.79273  0.000064  0.000027  0.001695     2.388
   1.39640  0.03205 -0.04253 -0.80442  0.000074  0.000030  0.001402     2.459
   1.40054  0.03569 -0.04448 -0.81679  0.000078  0.000032  0.001391     2.424
   1.40489  0.03954 -0.04651 -0.83854  0.000077  0.000033  0.001589     2.327
   1.40946  0.04360 -0.04861 -0.86262  0.000079  0.000034  0.001628     2.309
   1.41426  0.04788 -0.05078 -0.89706  0.000076  0.000034  0.001886     2.235
   1.41930  0.05240 -0.05301 -0.93371  0.000076  0.000034  0.001965     2.233
   1.42458  0.05718 -0.05524 -0.97656  0.000074  0.000034  0.002152     2.208
   1.43012  0.06228 -0.05742 -1.01190  0.000078  0.000034  0.002020     2.265
   1.43597  0.06775 -0.05949 -1.03424  0.000085  0.000036  0.001735     2.352
   1.44216  0.07362 -0.06145 -1.05077  0.000092  0.000038  0.001575     2.391
   1.44875  0.07995 -0.06329 -1.05159  0.000107  0.000042  0.001150     2.541
